,altitude,availableBikes,availableDocks,city,id,landMark,lastCommunicationTime,latitude,location,longitude,postalCode,stAddress1,stAddress2,stationName,statusKey,statusValue,testStation,totalDocks
132,,0,34,,352,,2016-01-26 06:16:54 PM,40.76340613,,-73.97722479,,W 56 St & 6 Ave,,W 56 St & 6 Ave,3,Not In Service,False,36
133,,0,16,,353,,2016-01-26 06:14:58 PM,40.68539567,,-73.97431458,,S Portland Ave & Hanson Pl,,S Portland Ave & Hanson Pl,3,Not In Service,False,27
134,,0,3,,354,,2016-01-26 06:17:53 PM,40.69363137,,-73.96223558,,Emerson Pl & Myrtle Ave,,Emerson Pl & Myrtle Ave,3,Not In Service,False,23
135,,0,43,,355,,2016-01-26 06:15:31 PM,40.71602118,,-73.99974372,,Bayard St & Baxter St,,Bayard St & Baxter St,3,Not In Service,False,43
136,,0,10,,356,,2016-01-26 06:16:00 PM,40.71622644,,-73.98261206,,Bialystoker Pl & Delancey St,,Bialystoker Pl & Delancey St,3,Not In Service,False,23
137,,0,26,,357,,2016-01-26 06:17:39 PM,40.73261787,,-73.99158043,,E 11 St & Broadway,,E 11 St & Broadway,3,Not In Service,False,27
138,,0,18,,358,,2016-01-26 06:18:31 PM,40.73291553,,-74.00711384,,Christopher St & Greenwich St,,Christopher St & Greenwich St,3,Not In Service,False,36
139,,0,53,,359,,2016-01-26 06:18:00 PM,40.75510267,,-73.97498696,,E 47 St & Park Ave,,E 47 St & Park Ave,3,Not In Service,False,55
140,,0,39,,360,,2016-01-26 06:15:44 PM,40.70717936,,-74.00887308,,William St & Pine St,,William St & Pine St,3,Not In Service,False,39
141,,0,37,,361,,2016-01-26 06:18:19 PM,40.71605866,,-73.99190759,,Allen St & Hester St,,Allen St & Hester St,3,Not In Service,False,43
142,,0,36,,362,,2016-01-26 06:15:49 PM,40.75172632,,-73.98753523,,Broadway & W 37 St,,Broadway & W 37 St,3,Not In Service,False,57
143,,0,39,,363,,2016-01-26 06:15:38 PM,40.70834698,,-74.01713445,,West Thames St,,West Thames St,3,Not In Service,False,49
144,,0,19,,364,,2016-01-26 06:16:32 PM,40.68900443,,-73.96023854,,Lafayette Ave & Classon Ave,,Lafayette Ave & Classon Ave,3,Not In Service,False,27
145,,0,18,,365,,2016-01-26 06:15:53 PM,40.68223166,,-73.9614583,,Fulton St & Grand Ave,,Fulton St & Grand Ave,3,Not In Service,False,31
146,,0,8,,366,,2016-01-26 06:15:59 PM,40.693261,,-73.968896,,Clinton Ave & Myrtle Ave,,Clinton Ave & Myrtle Ave,3,Not In Service,False,33
147,,0,34,,367,,2016-01-26 06:18:12 PM,40.75828065,,-73.97069431,,E 53 St & Lexington Ave,,E 53 St & Lexington Ave,3,Not In Service,False,34
148,,0,36,,368,,2016-01-26 06:15:52 PM,40.73038599,,-74.00214988,,Carmine St & 6 Ave,,Carmine St & 6 Ave,3,Not In Service,False,39
149,,0,25,,369,,2016-01-26 06:17:47 PM,40.73224119,,-74.00026394,,Washington Pl & 6 Ave,,Washington Pl & 6 Ave,3,Not In Service,False,35
150,,0,14,,372,,2016-01-26 06:15:32 PM,40.694528,,-73.958089,,Franklin Ave & Myrtle Ave,,Franklin Ave & Myrtle Ave,3,Not In Service,False,27
