2014-07-28,21,3,6,2,4,5,2,1,5,1,0,2,2,4,1,2,1,1,0,0,9,15,7,1,4,10,1,4,6,3,6,1,41,14,19,28,15,14,19,13,56,25,26,53,31,20,10,17,36,67,32,28,42,40,18,44,23,54,91,21,27,22,59,32,48,44,3,25,0,6
2014-07-29,24,7,8,3,7,1,1,6,7,5,4,3,1,1,0,1,1,0,1,0,5,17,6,5,8,9,2,2,6,4,3,1,38,25,18,25,13,18,27,30,60,28,28,55,35,30,7,14,58,49,34,30,31,39,25,45,22,67,105,20,19,26,53,26,43,47,4,18,2,5
2014-07-30,22,1,8,2,7,5,4,6,7,3,2,4,2,1,0,0,1,1,0,0,5,15,5,5,4,3,2,13,2,1,1,1,35,25,19,23,17,13,17,23,63,32,28,59,34,23,5,14,66,55,28,20,38,59,31,50,18,52,101,27,34,22,42,28,39,46,1,25,1,5
2014-07-31,24,2,9,2,4,4,1,2,3,2,2,3,2,2,1,1,0,0,1,0,3,11,3,5,5,5,2,5,4,1,4,1,40,22,23,24,11,15,29,20,61,30,28,56,34,23,7,13,56,67,35,14,31,42,18,29,25,57,100,19,17,22,37,23,41,45,3,23,1,5
2014-08-01,21,8,8,9,8,2,8,2,5,6,2,2,8,4,0,1,2,0,0,2,6,6,5,2,5,5,2,2,2,1,1,1,31,25,21,25,11,11,18,31,62,22,23,45,22,21,6,10,49,32,18,19,37,39,23,48,16,41,100,15,19,22,33,24,41,34,1,21,1,9
2014-08-02,6,0,4,0,3,4,2,2,0,1,0,2,3,0,0,2,0,0,0,1,0,1,1,0,1,0,2,1,0,1,1,0,10,3,6,7,6,6,0,13,41,5,12,5,3,6,3,2,35,6,4,5,11,13,12,10,3,14,8,12,15,14,15,10,15,16,0,1,1,1
2014-08-03,2,0,6,2,3,2,5,9,4,6,1,3,1,3,0,2,0,0,0,0,2,4,0,0,2,2,1,6,1,4,0,0,21,5,4,10,1,10,4,8,23,6,12,2,2,3,5,5,13,11,3,8,5,8,4,18,9,6,18,4,7,11,12,2,15,13,2,3,0,1
2014-08-04,23,1,6,1,3,7,3,1,5,1,1,2,1,1,0,2,1,0,0,0,5,9,5,1,5,4,2,3,7,9,1,0,38,17,19,21,7,15,22,16,38,30,17,53,27,17,6,12,40,42,33,15,37,38,19,38,18,62,96,28,21,25,60,28,39,34,2,22,1,6
2014-08-05,21,2,5,1,9,1,6,3,7,0,1,5,4,0,0,2,0,0,0,0,6,12,6,1,5,3,3,2,4,3,4,2,31,20,15,29,9,14,29,30,45,39,17,56,28,21,7,10,47,66,32,22,37,46,20,49,24,61,92,40,31,25,55,23,41,38,8,30,1,7
2014-08-06,16,1,6,3,7,1,7,3,6,0,1,2,7,2,0,2,1,0,0,2,4,11,4,4,3,1,0,4,5,3,5,0,31,18,17,13,11,18,14,22,48,26,34,57,41,16,3,18,45,44,35,16,30,38,24,53,14,72,111,33,29,36,45,18,33,46,1,26,1,6
2014-08-07,19,4,7,3,3,4,5,3,9,8,3,4,3,3,0,1,0,0,0,1,4,7,4,4,3,3,3,4,3,0,2,2,34,21,14,23,15,8,19,23,55,30,25,46,39,22,11,14,49,30,28,29,31,46,20,49,18,60,101,31,22,28,60,24,42,39,4,23,1,3
2014-08-08,19,2,6,1,7,5,6,6,6,0,1,5,4,0,0,1,0,0,0,0,1,7,4,2,5,3,2,2,4,0,4,1,30,23,18,16,13,18,15,16,49,29,29,47,22,27,11,19,51,31,28,9,22,35,30,45,19,54,100,20,28,31,43,25,41,40,2,26,0,4
2014-08-09,1,1,1,0,4,4,2,2,4,3,6,2,0,2,0,0,0,0,1,0,1,7,2,0,0,2,1,7,6,4,3,3,20,5,5,10,4,4,6,4,25,0,5,3,4,3,4,7,29,10,5,3,5,10,12,17,7,5,12,7,6,16,10,11,20,7,0,5,0,1
2014-08-10,2,2,3,0,0,0,3,8,1,2,2,3,4,1,0,1,0,0,0,0,4,5,1,2,0,0,0,0,2,0,1,0,20,5,4,15,12,2,14,7,27,13,22,4,2,7,2,3,55,9,4,9,10,2,5,13,16,3,15,6,21,15,8,4,23,10,0,2,0,0
